Mois,Très bas,Bas,Modérément bas,Autour de la normale,Modérément haut,Haut,Très haut
Janvier 2023,17.577947114362914,14.38416466802271,25.210237104951577,18.333889917726705,14.399344242387443,5.725735450377972,4.368681502170679
Février 2023,27.43359860313623,19.156509183707733,29.38450690037272,14.771162821933448,6.282529129310634,1.3297068600785735,1.6419865014606627
Mars 2023,27.481100695494405,17.045660719685515,25.700030238887212,13.982461445418808,8.971877834895677,3.4865436951920166,3.3323253704263687
Avril 2023,20.917476938419348,13.961605584642234,24.769384193467964,15.784717028172526,13.01109449015208,6.3544003989030164,5.201321366242833
Mai 2023,21.882629532507462,14.603490369834523,25.219278415769963,17.870814118214426,11.242728396178075,4.903999758869096,4.277059408626458
Juin 2023,19.992463968348666,15.389204634659464,27.36207492071467,18.865199233836783,10.58498445693472,4.377178384149214,3.428894401356486
Juillet 2023,21.022281263208743,15.44290803695429,25.83479258498883,18.81226979047159,11.979952901394842,4.054706841374313,2.8530885816073908
Août 2023,20.03436529707895,14.840382238567509,22.81071956108884,18.744159406746448,13.74310433183613,5.576824525969915,4.250444638712206
Septembre 2023,20.563976469855895,15.04870988826294,23.66709203523297,17.884154502163156,13.439571726477636,4.783840144417815,4.612655233589591
Octobre 2023,23.905734013809667,15.322725908135695,22.7979585709997,17.07595316721705,11.335935154608226,4.157910537376163,5.403782647853498
Novembre 2023,13.034001743679163,8.516004483746418,14.612654128783161,12.750653879686139,13.619379748412005,11.52073732718894,25.946568688504172
Décembre 2023,11.32283899475283,6.778360796587806,12.08383196784191,12.307833931694743,16.665132406640275,14.474209088956396,26.367792813526037
