Mois,Sécheresse extrême,Grande sécheresse,Sécheresse modérée,Situation normale,Modérément humide,Très humide,Extrêmement humide
Janvier 2023,0.018646280067126608,0.7582820560631487,5.329728385853689,85.76045745540432,6.986139598483436,1.1436385107837652,0.003107713344521101
Février 2023,25.41288191577209,14.94632535094963,18.087668593448942,41.553124139829336,0.0,0.0,0.0
Mars 2023,11.39598483435888,6.137733855429175,6.675368264031325,66.54546584623034,8.12667039592268,1.07216110385978,0.04661570016781652
Avril 2023,0.3018625561978163,3.098908156711625,6.827231856133591,71.28131021194605,14.51830443159923,3.7797045600513806,0.1926782273603083
Mai 2023,2.9800899165061017,10.94412331406551,22.52729608220938,63.54849068721901,0.0,0.0,0.0
Juin 2023,21.162491971740526,20.289017341040463,14.678869621066154,38.172768143866406,4.2838792549775215,1.2716763005780347,0.14129736673089274
Juillet 2023,2.3432158617689103,10.065883522903848,16.94946858101809,63.81689352974082,4.944371931133072,1.6315495058735783,0.2486170675616881
Août 2023,8.173286096090496,9.683634781527752,12.179128597178195,46.233451426440425,10.83348871900056,10.236807756852508,2.660202622910063
Septembre 2023,4.139370584457289,12.745664739884393,23.853564547206165,58.25626204238921,0.8991650610147719,0.09633911368015415,0.009633911368015415
Octobre 2023,3.4651003791410275,13.353844241407172,21.657654297967554,60.54447137796009,0.9602834234570203,0.018646280067126608,0.0
Novembre 2023,0.0032113037893384713,0.12202954399486192,0.7707129094412332,28.94990366088632,24.030186255619782,24.595375722543352,21.52858060372511
Décembre 2023,0.0,0.015538566722605507,1.1249922307166387,78.89862639070172,14.25197339797377,4.754801417117285,0.9540679967679782
